vamSIkRshNA yadu vamSIkRshNA|vamSa vRksham|charukesi
nI rAka kOsam niluvella kanulai|SArada|charukesi
rAgam tAnam pallavi|SankarAbharaNam|charukesi
ammA bangAru talli|palnATi yuddham|darbar
unnAvA asalunnAvA|bhakta tukArAm|darbar
SivaSankarI SivAnandalahari|jagadEka vIruni katha|darbarikanada
nI kaugililO taladAchi|kArtIka dIpam|darbarikanada
hE chandrachUDa madanAtakA SUla|satya harischandra|darbarikanada
Anati kAvalena gAnAniki samayamu|amarasanDESam|darbarikanada
aligina vELane chUDAli|gunDamma katha|deshi
O cheli Oho sakhi|jagadEka vIruni katha|deshi
tirumala tirupati venkaTESwara|mahA mantri timmarusu|deshi
vENu gAnalOluni gana vEyi kanulu|renDu kuTumbAla katha|deshi
mOmu jUDa vEDuka gOmu jUDa|bhakta Sabari|deshi
yenta dUramu adi yentadUram|EkavIra|deshi
annI manchi SakunamulE|SrI kRshnArjuna yuddham|deshi
vardhillu mA talli vardhilla vammA|mAyA bajAr|deshi
kATuka kanTa nIru|bhaktapOtana|dhanyasi
kavi rAju kamThambu kaugilinchenu|bhaktapOtana|dhanyasi
sakala kalyANa guNa bhUsha sAdhu|SrI vEnkaTESwara mahAtmyam|dhanyasi
andela ravamidi padamuladA ambara|swarNakamalam|dharmavati
Hello my dear wrong number|manmadhalIla|dharmavati
OmkAra nAdAnusandhAnamau gAnamE|Sankarabharanam|dheerasankarabharanam
nA hRdayamlO nidurinche|ArAdhana|dheerasankarabharanam
jOruga hushAruga shikAru pOdamA|bhAryA bhartalu|dheerasankarabharanam
O rangayO pUla rangayo|velugu nIDalu|dheerasankarabharanam
chinni chinni ASa chinna dAni ASa|rOja|dheerasankarabharanam
nAkO tODu kAvAli|chaduvukonna ammayilu|dheerasankarabharanam
idE pATA pratI chOTA ilAgE|puTTinillu meTTinillu|dheerasankarabharanam
nalugiDare cheluvuga SrI gauri|vinAyaka chaviti|dheerasankarabharanam
I SrInivAsunDu EDukonDalapai|SrI vEnkaTESwara mahAtmyam|dheerasankarabharanam
jana nAdhOttama dEvarAya nRpatI|bhakta pOtana (1966)|dheerasankarabharanam
ninna lEni andamEdO nidura lEche|pUjAphalam|durga
manasuna manasai bratukuna bratukai|Dr chakravarthi|dvijavanti
vadasi yadi kinchidapi|bhakta jayadEva|dvijavanti
himagiri sogasulu|pAnDava vanavAsam|dvijavanti
ADavE andAla sura bhAmini|yamagOla|dvijavanti
I mUga chUpEla bAva mATADaga|gAlimEDalu|dvijavanti
nI nIDalOna nilichenura|suvarNa sundari|dvijavanti
kanavErA munirAja mauLi|pAnDuranga mahAtmyam|dvijavanti
nI madhu muraLI gAna lIla|bhakta jayadEva|hamirkalyani
jhaNaNa jhaNaNa jhaNa|rahasyam|hamirkalyani
sAdhinchanaunA jagAna|rahasyam|hamirkalyani
lalita kaLArAdhanalO|kalyANi|hamirkalyani
SrIdEvini nIdu dEvErini|SrI vEnkaTESwara mahAtmyam|hamirkalyani
vAtApi gaNapatim|vinAyaka chaviti|hamsadhvani
gOpAla nanu pAlimparAra|manushullO dEvuDu|hamsadhvani
SrI raghu rAm jaya raghu rAm|SAnti nivAsam|hamsadhvani
swAgatam suswAgatam|SrI kRshNa pAnDavIyam|hamsadhvani
kadali rAda tanE vasantam|rudravINa|hamsadhvani
bhIti janimpa|palnATi yuddham|hamsadhvani
vEdam aNuvaNuvuNa nAdam|sAgara sangamam|hamsanandi
muddabanti pUchEnule|daLapati|hamsanandi
pAlinchara rangA|vipranArAyaNa|hemavati
chUDumadE cheliyA|vipranArAyaNa|hindolam
sandEhinchakumammA raghurAmu|lava kuSa|hindolam
sAmajavara gamana|SankarAbharaNam|hindolam
kalanaina nI talapE kalavara|SAnti nivAsam|hindolam
rAjaSEkharA nIpai mOju tIra lEdurA|anArkali|hindolam
mOhana rUpA gOpAla|kRshNaprEma|hindolam
nArAyaNA hari nArAyaNA|chenchu lakshmi|hindolam
SrIkara karuNAlavAla|bobbili yuddham|hindolam
rAma kathanu vinarayyA|lava kuSa|hindolam
piluvakurA alugakurA|suvarNa sundari|hindolam
manasE andAla bRndAvanam|manchi kuTumbam|hindolam
vINa vENuvaina sarigama|inTinTi rAmAyaNam|hindolam
pagalE vennelA jagamE UyalA|pUjA phalam|hindolam
manamE nandana vanamE kAdA|mA yinTi mahalakshmi|hindolam
nammaku nammaku I rEyini|rudravINa|hindolam
nEne rAdha nOyi gOpAla|antA mana manchikE|hindolam
sAgara sangamamE praNaya sAgara|sItAkOka chiluka|hindolam
Om namaSSivAyA chandra kaLAdhara|sAgara sangamam|hindolam
gunna mAmiDi komma mIdA gULLu|bAlamitrula katha|hindolam
patiyE pratyakshA daivamE|AmE katha|hindolam
SrIkaramagu paripAlana nIdE|mahAkavi kALidAsu|hindolam
konDalalO nela konna kOnETi|alluDugAru|hindolam
kotta kottagA vundi|kUlI nam. 1|hindolam
yEm vAnO musurukunnadi|nAri nAri naDuma murAri|hindolam
daya cUpavE gADidA!|SrI SrI SrI maryAda rAmanna katha|hindolam
rangulalO kalavO yeda pongulalO|abhinandana|hindolam
pADamani nanaDagavalenA|Dr cakravarti|janjuti
marugElarA O rAghavA|saptapadi|jayantashri
ElA nA pai daya chUDavu|vipranArAyaNa|jivanpuri
madhuramaina jIvitAla|amaraSilpi jakkanna|jivanpuri
kalaye jIvita manna nI paluke|SrI vEnkaTESwara mahAtmyam|jivanpuri
karuNAmayA dEvA|bhakta tukArAm|kalavati
mA ila vElupu nIvenayya mamu|mA vadina|kalavati
ataDE nA jatagADu kaLalu mAyani|peddalu mArAli|kalavati
manasE madhu gItamai|aDugu jADalu|kalavati
jagamula nElE gOpAluDe nA sigalO|SrI kRshNavatAram|kalavati
mAdhavA! mAdhavA! nanu lAlincharA|SrI rAmakatha|kalyanavasanta
jIvitamE kRshNa sangItamu|SrI madvirATaparvamu|kalyanavasantam
rasika rAja maNirAjita sabhalO|mahAkavi kALidAsu|kambhoji
pAvana guNa nAmA harE|bhakta pOtana (1942)|kanada
jOTI bhArati|bhakta pOtana (1966)|kanada
jananI SivakAmini|nartanaSAla|kanada
pilichAnu yeduTa nichAnu|sirimuvva|kanada
ninnu chUchu nandAka kannula|bhakta Sabari|kanada
dAri chUpina dEvatA|Gruhapravesam|kanada
sarigamalU galalU priyuDE sangItamu|Idi katha kadu|kanada
SrI gauri SrI gauriyE Sivuni|AdarSa dAmpatyam|kanada
jagadabhi rAmuDu SrI rAmuDE|lavakuSa|kanada
anyuleduTani tana nAthuDanumatincha|SrI vEnkaTESwara mahAtmyam|kanada
pilachina biguvaTarA|mallISwari|kapi
vaddurA kannayyA|ardhAngi|kapi
navarasa suma mAlika|mEgha sandESam|kapi
evarurA nIvevarurA|aggirAmuDu|kapi
andAla bommatO ATADava|amaraSilpi jakkanna|kapi
naluguru navvErurA gOpAla|vichitra kutumbam|kapi
Emivvagala dAnarA|vasantasEna|kapi
naDumekkaDE nIku navalAmaNi|koDaLLostunnAru jAgratta|kapi
rAsakrIDa yikachAlu|sangIta lakshmi|kapi
O! sukumAra ninu gana manasaura|sItArAma kalyANam|kapi
kula gOtrambulu manTa galpitivi|palnATi yuddham|kapi
vacchiti dUtaga|palnATiyuddham|kedaragaula
O prEma nA prEma|chanTi|keeravani
kIravANi chilakalA kolikirO|anvEshaNa|keeravani
ranDi ranDi ranDi daya cEyanDi|rudravINa|keeravani
jhuma jhuma jhum jhum|mallISwari|keeravani
jalakA lATalalO kalakala pATalalO|jagadEka vIruni katha|keeravani
kOlO kOlamma gaLLa|konDavITi donga|keeravani
endukE nIkinta tondara|mallISwari|khamas
madhumAsa vELalO marumalle toTalO|andame Anandam|khamas
O cheli kOpamA antalO tApamA|kRshNa tulAbhAram|khamas
nA jIvana sandhyA samayamlO|amara dIpam|khamas
brOchE vArevarura|SankarAbharaNam|khamas
naTana mayUri vayyAri|Tik Tik Tik|khamas
nanu viDanADakurA|vipranArAyaNa|khamas
chilipi chEshTala|SrI vEnkaTESwara mahAtmyam|khamas
bAlanurA madanA|missamma|kharaharapriya
sangIta sAhitya samAlankRtE|swAtikiraNam|kharaharapriya
dInAra TankAla tIrdhamADinchiti|bhakta pOtana (1966)|kharaharapriya
mAtApita guru dEvahita|bhakta pOtana (1942)|kuntalavarali
sumam prati sumam sumam vanam prati|maharshi|madhuvanti
varAla bEramayA vanarE bEramayA|SrI vEnkaTESwara mahAtmyam|madhyamavati
SaraNam ayyappa|swAmi ayyappa|madhyamavati
suvvi suvvi suvvAlamma|swAti mutyam|madhyamavati
SrI sItA rAmula kalyANam|sItA rAma kalyANam|madhyamavati
kASIki pOyAnu rAmAhari|appu chEsi pappu kUDu|madhyamavati
SankarA nAda SarIrAparA|SankarAbharaNam|madhyamavati
varinchi vacchina mAnava vIruDu|jagadEka vIruni katha|madhyamavati
vanTivADa nEnu uniki I jaga|SrI vEnkaTESwara mahAtmyam|madhyamavati
priyE chAruSIlE|mEghasandESam|madhyamavati
mamata lerigina nA tanDri|tallA peLLAmA|madhyamavati
SrI gaNanAtha sindhUra varNa|mallISwari|malahari
chamakku chamakku chAm|konDavITi donga|malahari
O malayapavanamA|mAnavati|malayamarutam
konDagAli tirigindi|uyyAla JampAla|malayamarutam
inni rAsula yuniki inti cheluvapu|SRtilayalu|malayamarutam
alakalu tIrina kannulu yEmanE|mA nAnna nirdOshi|malhar
nI dAnanannadira ninnE nammina|jayabhEri|mand
darijEri manOj~na gItika|peLLisandaDi|mand
addamanTi manasu undi andamainA|kalasi vunTE kaladu sukhamu|mand
karuNAlOlA Srita jana pAlA|bhakta ambarIsha|mand
challani vennela kOnalo|velugu nIDalu|mayamalavagowla
yamahO nI yamayama andam|jagadEka vIruDu atilOka sundari|mayamalavagowla
jhinjhinakka jhinkara|sUrya IPS|mayamalavagowla
evaru chEsina kharma|kIlugurram|mayamalavagowla
kuDiyeDamaitE porapATulEdoy|dEvadAsu|mechakalyani
idi tIyani vennela rEyi|prEma lekhalu|mechakalyani
dorakunA iTuvanTi sEva|SankarAbharaNam|mechakalyani
salalita rAga sudhArasa sAram|nartanaSAla|mechakalyani
kanulamundu nIvunTe kavita pongi|chelleli kApuram|mechakalyani
toTalO nA rAju|Eka vIra|mechakalyani
madi SAradA devi mandiramE|jayabhEri|mechakalyani
manasu pADindi sannAyi pATa|puNyavati|mechakalyani
palukarAdaTE chilukA|shAvukAru|mechakalyani
challani vennelalO chakkani|santAnam|mechakalyani
hAyi hAyiga jAbilli toli rEyi|velugu nIDalu|mechakalyani
kilakila navvulu chilikina|bhAryA bhartalu|mechakalyani
pAla kaDalipai SEsha talpamuna|chenchu lakshmi|mechakalyani
rA rA nA sAmi rA rA|vipranArAyaNa|mechakalyani
peLLi chEsukoni illu chUsukoni|peLLi chEsi chUDu|mechakalyani
madhura bhAvAla sumamAla|jaijawAn|mechakalyani
pADanA vANi kalyANigA|mEgha sandESam|mechakalyani
jayA jayA jaya SubhASaya|mallISwari|mechakalyani
pUvai virisina punnammi vELa|tirupatamma katha|mechakalyani
sAgEnu jIvita nAva|tobuTTuvulu|mechakalyani
rAvE nA cheliyA nA jIvana nava|manchi manasuku manchi rojulu|mechakalyani
madilO virisE tIyani rAgam|renDu kuTumbAla katha|mechakalyani
tolivalapE padE padE pilichE|dEvata|mechakalyani
nidhi chAla sukhamA|tyAgayya|mechakalyani
sakhiyA vivarimpavE|nartanaSAla|mechakalyani
kalisina hRdayAlalOna|prEma paga|mechakalyani
palikenu yEdO rAgam alivENi|samgham chekkina SilpAlu|mechakalyani
rangAru bangAru chengAvulu|lavakuSa|mechakalyani
ala vaikunTha purambulO|bhakta pOtana (1966)|mechakalyani
Om namO namA|sUrya IPS|mechakalyani
sAvirahE tava dInA rAdhA|vipranArAyaNa|mechakalyani
manasuna mallela mAla lUgenE|mallISwari|mechakalyani
jOru mIdunnAvu tummedA|Sivaranjani|mechakalyani
evarivO nIvevarivO|punarjanma|mechakalyani
jagamE mArinadi madhuramuga I vELa|dESa drOhulu|mechakalyani
tella vAra vachhE teliyaka nA sAmi|chiranjIvulu|mohanam
lAhiri lAhiri lAhirilO|mAyA bajAr|mohanam
chengu chenguna gantulu vEyanDi|nammina banTu|mohanam
echaTa nunDi vIchenO I challani|appu chEsi pappu kUDu|mohanam
manasu parimaLinchenu|kRshNArjuna yuddham|mohanam
ayina dEmo ayinadi priya|jagadEka vIruni katha|mohanam
mOhana rAgamaha mUrtimantamAyE|mahA mantri timmarusu|mohanam
vE vELa gOpemmala muvva gOpAluDE|sAgara sangamam|mohanam
pADavEla rAdhika praNaya sudhA|iddaru mitrulu|mohanam
vinipinchani rAgAlE kanipinchani|chaduvukonna ammayilu|mohanam
nanu pAlinchaga naDachi vacchitivA|buddhimantuDu|mohanam
ghanA ghana sundarA karuNA rasa|bhakta tukArAm|mohanam
sirimalle nIve viri jallu kAvE|pantulamma|mohanam
madilO vINalu mOge ASalenno|AtmIyulu|mohanam
ninnu kOri varNam sari sari|gharshaNa|mohanam
madhura madhura mI tiyyani|vipranArAyaNa|mohanam
madilOni madhura bhAvam|jayasimha|mohanam
InATi I hAyi kala kAdOyi nijamOyi|jayasimha|mohanam
nallavADe vrEpalle vADe|chiranjIvulu|mohanam
maunamugA nI manasu paDinA|gunDamma katha|mohanam
telusukonave yuvatI / chellI|missamma|mohanam
SIlamu galavAri|palnATiyuddham|mohanam
rati chEti rAchiluka/ratirAja|palnATiyuddham|mohanam
chandana charchita nIla kaLEbara|tenAli rAmakRshNa|mohanam
ratisukhasArE gatamabhisArE|bhakta jayadEva|mohanam
kottagA rekkalocchena|swarNakamalam|mohanam
SrI kaivalya padambu|bhakta pOtana (1966)|mohanam
dambu sUpi dharAtalammunan|bhakta pOtana (1966)|mohanam
palanADItani|palnATi yuddham|mohanam
paDavaitun|palnATi yuddham|mohanam
inkA telavAra dEmI I chIkaTi|manchi mitrulu|mohanam
teliyani Anandam nAlO|mAngalya balam|nalinakanti
pADave rAgamayi|sItArAmakalyANam|nalinakanti
nInu jEra manasAyerA|bobbili yuddham|natabhairavi
gOvullu tellana gOpayya nallana|saptapadi|natabhairavi
kannula kanDa kAvaramu gappa|SrI vEnkaTESwara mahAtmyam|natabhairavi
aunA nijamEnA/aunA kalalEnA|mallISwari|pahadi
navvula nadilO|marmayOgi|pahadi
nI charaNa kamalAna|SrI kRshNAvatAram|pahadi
rAmaya tanDri O rAmaya tanDri|sampUrNa rAmAyaNam|pahadi
ghana yamunA nadI kallOla|bhakta pOtana (1966)|pahadi
padavE pOdAmu gaurI|SrI vEnkaTESwara mahAtmyam|pahadi
chiru chiru nagavula|SrI vEnkaTESwara mahAtmyam|pahadi
swaramulu EDainA rAgAlennO|Sivaranjani|pantuvarali
nI aDugulOna aDugu vEsi|pUlarangaDu|patadip
O cheli O sakhi|umA chanDi gaurI Sankarula katha|patadip
nA madi pADina I vELalO|pavitra hRdayAlu|patadip
ennALLani nA kannulu kAyaga eduru|SrI vEnkaTESwara mahAtmyam|pilu
tellArE dAka nuvvu talupu mUsi|prEma pakshulu|pilu
konTe chUpu lenduku lErA|SrImantuDu|pilu
Om namaha|gItAnjali|pratimadhyamavati
gandhamu puyyarugA|SubhOdayam|punnagavarali
tana pantame tA viDuvaDu|mAnavati|rasali
rAgAlA sarAgAlA hAsAlA vilAsAlA|SAntinivAsam|ravicandrika
annAnA BhAmini|sArangadhara|ravicandrika
enta GhATu prEmayo|pAtALa bhairavi|ravicandrika
idi nA cheli idi nA saKhi|chandrahAram|ravicandrika
E tIga puvvunu|marO charitra|revati
Jhummandi nAdam|Siri Siri Muvva|revati
evariki evaru chivariki|dEvadAsu maLLI puTTADu|revati
vEdamlA ghOshinchE gOdAvari|Andhra kEsari|revati
sEshaSailavAsa SrI venkaTESa|SrI vEnkaTESwara mahAtmyam|ritigaula
nannu viDachi kadalakurA|bhaktapOtana|ritigaula
rAmA kanavEmirA|swAtimutyam|ritigaula
ee pAdamE kadA|swAtimutyam|ritigaula
kastUri ranga ranga chinnari kAvETi|zamindAr|ritigaula
jEbulO bomma jEjElA bomma|rAju pEda|sama
mAnasa sanchararE|SankarAbharaNam|sama
mauname nI bhAsha O mUga manasA|guppeDu manasu|sama
jaya jaya SrI rAma|jayasimha|sama
adigadigO gagana sIma|nA yillu|saranga
AkASa pandiri lO|rAjESwari vilAs kAfI klab|shahana
UrikE kolanu nIru uliki uliki|sampUrNa rAmAyaNam|shahana
inta kanna manchi taruNam|kUturu kODalu|shahana
chUchi valachi chentaku|vIrAbhimanyu|shahana
pUvuvale virabUyavale|kAnisTEbul kUturu|shahana
jaya SambhO SivaSankara|palnATiyuddham|shankara
takiTa tadhimi takiTa tadhimi|sAgara sangamam|shanmukhapriya
dEvi SrI dEvi mamu lAlinchi|santAnam|shanmukhapriya
munneeTa pavaLinchu nAgaSayanA|BhUkailas|shanmukhapriya
taruNa SasAnka|tenAli rAmakRshNa|shanmukhapriya
rangA kAvETi rangA|vipranArAyaNa|shanmukhapriya
nATyame kaLa landu kaDu minna|SrI rAma katha|shanmukhapriya
Sivaranjani navarAgiNi|tUrpu paDamara|shivaranjani
AkASa dESAnA AshADha mAsAnA|mEgha sandESam|shivaranjani
abbanI tiyyanI debba|jagadEka vIruDu atilOka sundari|shivaranjani
vagala rANivi nIve sogasu kADanu|bandipOTu|shivaranjani
nA jIvitamu nIkankitamu|SrI kRshNavijayamu|shivaranjani
srI rAmuni charitamunu|lavakuSa|shivaranjani
E nimishAniki Emi jarugunO|lavakuSa|shivaranjani
charitra yerugani mahApAtakam|mahA mantri timmarusu|shivaranjani
O! vINa cheli nApriyasakhi|candrahAsa|shivaranjani
kanupApa karavaina kanulendukO|ciranjIvulu|shivaranjani
andamainA vennela lOnA acca telugu|assembly rowdy|shivaranjani
buggi yainadi nA batuku|palnATi yuddham|shivaranjani
praNaya rAga mOhini|mAya maSchindra|shriranjani
rAvElA karuNAlavAla dariSana mIyaga|SrI rAmakatha|shubhapantuvarali
bhArata mAtanu nEnu bandInai paDi|nETi bhAratam|shubhapantuvarali
vELA pALa lEdu kurrALLATaku|Abhilasha|shubhapantuvarali
dinakarA SubhakarA dEvA dInAdhArA|vinayaka chaviti|shubhapantuvarali
kalalo peTTani muddulu|Attaku yamudu ammayiki mogudu|shubhapantuvarali
subhalEkha vrAsukunnA edalO epuDO|konDavITi donga|shuddhadhanyasi
evarO AmevarO/ evarO ataDevarO|SrI vEnkaTESwara mahAtmyam|shuddhasaranga
bhalE tAta mana bApUjI bAlala tAtA|dongarAmuDu|shuddhasaranga
Om namO namO naTarAja namO|nAgula chaviti|shuddhasaranga
nanda yaSOda|mallISwari|shuddhasaveri
nA tala goTTi|palnATiyuddham|simhendramadhyamam
I nirAdaraNa bharincha|SrI vEnkaTESwara mahAtmyam|simhendramadhyamam
chEkonavayya mAmsamidE|SrI kALahastISwara mahAtmyam|simhendramadhyamam
swAmI chanchala maina chittamidE!|SrI kALahastISwara mahAtmyam|simhendramadhyamam
kAdu suma kala kAdu suma|kIlu gurram|sindhubhairavi
idEnanDi idEnanDi bhAgyanagaramu|MLA|sindhubhairavi
kanulu terachinA nIvAye|gunDamma katha|sindhubhairavi
chEsEdi EmiTO chEsEyi sUTiga|tenAli rAmakRshNa|sindhubhairavi
Emani pADedano I vELa|bhAryA bhartalu|sindhubhairavi
ETi lOni keraTAlu yEru viDachi pOvu|uyyAla jampAla|sindhubhairavi
naDi rEyi E JhAmulo|rangula rATnam|sindhubhairavi
vADina pUle vikasinchene|mAngalya balam|sindhubhairavi
O endukOyI tOTamAlI|vipranarayana|sindhubhairavi
bhalE bhalE andAlu SRshTinchAvu|bhakta tukArAm|sindhubhairavi
brahmayyA O brahmayya|peLLi chEsi chUDu|sindhubhairavi
teliyaga lEre nI lIlalu|chenchu lakshmi|sindhubhairavi
EmiTO I mAya O vennela rAja|missamma|sindhubhairavi
mudda banti pUvulO mUga kaLLa UsulO|mUga manasulu|sindhubhairavi
darijEruchukOrA rangA!|vipranArAyaNa|sindhubhairavi
anurAgAlu dUramu lAyenA|vipranArAyaNa|sindhubhairavi
jayammu niSchayammurA bhayammu|SabhAsh rAmuDu|sindhubhairavi
chAladA yI pUja dEvi|SrI kRshNarjuna yuddham|sindhubhairavi
vrEpalliya yeda jhallana pongina|saptapadi|sindhubhairavi
simhAchalamu mahA puNya kshEtramu|simhAchala kshEtra mahima|sindhubhairavi
jaga dISvarA pAhi paramESvara|suvarNa sundari|sindhubhairavi
nanduni charitamu vinumA|jayabhEri|sindhubhairavi
mrOgindi guDi lOni ganTa|guDi ganTalu|sindhubhairavi
InADE dasarA panDaga|manci rOjulocchAyi|sindhubhairavi
intErA I jIvitam tirigE|rangularATnam|sindhubhairavi
nelarAjA iTu chUDarA|sUrya IPS|sindhubhairavi
prEma kOsamai valalO paDenE pApam|pAtALa bhairavi|sindhubhairavi
kanugona galanO lEnO prANamutO|pAtALa bhairavi|sindhubhairavi
lIlA kRshNA nI lIlalu gana|mahA mantri timmarusu|surati
SrI lalitA Sivajyoti sarva kAmadA|rahasyam|surati
pAvanambAyenayya nA jIvitambu|SrI vEnkaTESwara mahAtmyam|surati
manasA kavvinchakE nannilA|panDanTi kApuram|tilang
niluvumA niluvumA nIla vENI|amaraSilpi jakkanna|tilang
nIlakandharA dEvA dIna bAndhavA|bhUkailAs|tilang
nA chandamAma nIve bhAma|pAnDava vanavAsam|tilang
jAmu gaDichenu jAbili vodigEnu|moguDu peLLalu|tilang
cheliyA! rAvEla! nA chEruva kAvEla|bAbu|tilang
nAlO ninnE chUDanA|vichitra vivAham|tilang
jaya jaya jaya SAradA!|mahA kavi kALidAsu|tilang
evarO vastArani EdO chEstArani|bhUmi kOsam|todi
E gIta gIsinA nIrupamE E paTa|muttaiduva|todi
palikeDidi bhAgavatamaTa|bhaktapOtana|todi
priyA priyatamA rAgAlu sakhI|killar|udayaravicandrika
vennela rEyi entO chalI chalI|prEminchi chUDu|valaji
vasanta gAliki valapulu rEga|karNa|valaji
SivapUjaku chivurinchina|siri siri muvva|valaji
kAvave mammu dEvi|vimala|varali
