Ninnu mincina|todi|Annaswami Sastri|adi
Roopamu Joochi|todi|Muthuswami Dikshitar*|adi
Sariga|todi|Ramaswamy Dikshitar|adi
Tyaga|todi|Ramaswamy Dikshitar|adi
Kanakangi|todi|Pallavi Gopala Iyer|ata
Valapu nanu jese|todi|Melattur Veerabhadrayya|ata
Vanajakshi|todi|Vina Kuppayyar|ata
Dani Samajendra|todi|Swati Tirunal|adi
Vanajakshi|varali|Ramnad Srinivasa Iyengar|Chaturasra Ata
Ninnu kori|vasanta|Tachur Singarachari|adi
Dani korikanu|vasanta|Ramnad Srinivasa Iyengar|Misra Jhampa
Valachi|veeravasantam|Ramaswamy Dikshitar|adi
Pada Sarasa|yadukulakambhoji|Palghat Parameswara Bhagavatar|adi
Kamalakshi|yadukulakambhoji|Vina Kuppayyar|ata
