lalitakoshala|lalitakosali
lalitapancamam|lalitapriya
lalitapriya|lalitapriya
pancamalalita|lalitapriya
lalitashrikanthi|lalitashrikanthi
latamani|latamati
kolu|lavanavaridhi
lokottaramani|lokottaramani
lolaski|lolangi
nepalagaula|ma-anamaya
nutanacandrika|madhavacandrika
madhuranjani|madhuranjani
madhumalati|madhuvanti
mattimavali|madhyamavarali
kalika|madhyamavarali
madhyamavati|madhyamavati
makutashri|makutashri
mangalapriya|mangalapriya
vasimanjari|manimanjari
marakatashri|marakatashri
marmakesari|marmakesari
maravi|marubhi
gangalan|matangagamini
mardyadruma|matsyadruma
matsyadruma|matsyadruma
mayadharini|mayadharini
mayamalavagowla|mayamalavagowla
mayuradhvani|mayuradhvani
mecaputri|mecaputri
nutabhasitam|mitabhasita
shuddhkalyani|mohanakalyani
mohana|mohanam
mohanaraga|mohanam
mohanam|mohanam
bhogavarali|mohanavarali
mrgendra|mrgendramadhyam
ukapriya|mukhapriya
mukhapriya|mukhapriya
muktambari|muktambari
kumudabharanam|mukundabharanam
tannavan|mukundakokila
murtivasantam|murtivasantam
mrgaksi|murugaksi
nabhomargini|nabhomargini
nadanali|nadakali
samavasantam|nadakali
dhanamanjari|nadamanjari
nadamukhari|nadamukhari
bhavini|nagacandrika
nadasanjivi|nagasanjivini
ragasugandhi|nagasugandhi
nalinasukhi|nalinamukhi
namanarayani|namanarayani
candaherali|nandaherali
narayanadeshadi|narayanadesaksi
natabharanam|natabharanam
nagadiparam|natiparam
navasutika|navamalika
navarasabangala|navarasabangala
navaratnabhusani|navaratnabhusani
nayanabhusini|nayanabhusini
nevadhi|nevadhi
nilamani|nilamani
nilamari|nilamani
nilika|nilika
nirvanavasantam|nirvanavasantam
nirmitam|nirvitam
bangarapriya|omkarapriya
badarika|padarika
padmavati|padmavati
padi|pahadi
bahali|pakali
pallatti|pallatti
pancanarayani|pancanarayani
panamdaman|parandaman
pazhamtakkaragam|pazhamtakka
esandoli|penandoli
kalavali|pilavali
pratapahamsi|pratapagamana
supratapa|pratapamu
prataparanjani|prataparanjani
dralashobhi|pravalajyoti
pravalajyoti|pravalajyoti
pravalashodi|pravalajyoti
kriyaviraman|priyavirama
tamalaki|purapurika
purvakarnika|purnakarnika
purvaramakriya|purvaramakriya
putkarini|puskarani
puspalatika|puspalata
puttari|puttari
ragangini|ragangini
rajamanjari|rajamanjari
maruvaranjani|ramaranjani
ragaguchcham|rasakushisham
ratnavari|ratnavali
rishabhapriya|rishabhapriya
svadpadadhvani|sadpadadhvani
salagabibhasu|sakalabibhasu
alapi|salaga
samantadipaka|samantadipaka
samantashikhamani|samantamani
sambhramalila|sambhramalilakara
sangranapriya|sangranapriya
samantamaruva|sarangamaruva
sarangi|sarangi
sarjamani|sarangi
sarvacudamani|sarvacudamani
sarvagandhari|sarvagandhari
satiresha|satiresha
sadiresham|satiresha
saurastram|saurastram
rekharanjani|senaranjani
shankari|shankari
guhabharanam|sharavati
shardularava|shardularava
shashiprakashi|shashiprakashi
shreyodayini|shreyodayini
shrikandishan|shrikandishan
shrikhandavilepini|shrikhandalepini
deshyamanohari|shrimanohari
shriomkarabhusani|shriomkaraghosini
shritakrani|shritakrani
purvavivardhini|shrivivardhini
vivardhini|shrivivardhini
ksoni|shroni
shritiprakashini|shrutiprakashini
shrutiprakashini|shrutiprakashini
shivapantuvaraali|shubhapantuvarali
shuddhaghantanam|shuddhagottamani
shuddhakampitam|shuddhagottamani
shuddhagurjari|shuddhagurjari
shuddhahamsanada|shuddhahamsanada
sudhambhodi|shuddhakambhoji
shuddhasena|shuddhasena
shuklakarnataka|shuklakarnata
shuzharai|shulagu
syayagaula|shyamagaula
shyaamalam|shyamalangi
vanamali|shyamali
salmali|shyamali
sidraksi|sidraksi
ksidraksi|sidraksi
shiyirudam|sikiriyantam
simhanada|simhanada
simhasvarupi|simhasvarupini
sindhottama|sindhottama
sindhukannada|sindhukannada
sindhumukha|sindhumukhari
cintaramani|singaramni
sitapancamam|sitapancamam
shvetambari|smokambari
stavaraja|stavaraajam
sugunaposhini|sugunabhusani
sukhapani|sukhavani
samudrapriya|sumanisharanjani
sumanishapriya|sumanisharanjani
sunandanapriya|sunandanapriya
candragandhara|sundaragandhara
sowrasenaa|surasena
suratinayakam|suratinayaki
suryanayakam|suratinayaki
suravikrama|suravikrama
suryakantam|suryakanta
sushankavali|sushankavali
shobhavari|sutradharini
pancasyanandana|suvarnangi
svararanjani|svararanjani
svarnadipika|svarnadipika
rangatodi|svarnamallika
jnanamani|svarnamallika
talamargini|talamargini
tamokini|tamohini
todu|toduvai
trilocanapriya|trilocanapriya
tripuraiaparna|tripuraiaparna
udayabhairavi|udayaravi
vagimata|vagvimati
vakulabharanam|vakulabharanam
vamshikam|vamshikam
krajavali|vanali
vanini|vanishri
varati|varali
varunasindhu|varunasindhu
vagvilalita|vasavalalita
vasyapriya|vasyapriya
shrivedagiri|vedagiri
vitashokan|vidashoka
visayanarayani|vijayanarayani
viralon|viraala
shankarar|virapratapa
vishupati|visnupadi
yagapriya|yagapriya
yavapriya|yakshapriya
yami|yamini
yogamati|yogabodhini
yogini|yogapriya
yogasaurabham|yogasaurabham
yuvaratnikam|yuvaratnikam
