raga_name|kriti_name|composer_name|Link
sama|Annapurne Vishalaksi|Muthuswami Dikshitar|
sama|Bhajana Seyave Baguga|Mysore Sadashiva Rao|
sama|Cidambaram Poi|Gopalakrishna Bharati|
sama|Etulaina Bhakti Vaccutake|Tyagaraja|
sama|Guruguhaya Bhaktanugrahaya|Muthuswami Dikshitar|
sama|Innamum Shodanaiyo-varnam|T. R. Subramaniam|
sama|Mamavasu Govinda|Mysore Vasudevachar|
sama|Maravakave O Manasa|Patnam Subramania Iyer|
sama|Narayana Nalinayata|Papanasam Sivan|
sama|Parakelanayya Rama Paratpara|Mysore Vasudevachar|
sama|Parvata Vardhini|Muthuswami Dikshitar|
sama|Ragam Tanam Pallavi|Own/others|
sama|Shantamu Leka Saukhyamu Ledu|Tyagaraja|
sama|Smara Haripadaravindam|Swathi Thirunal Rama Varma|
sama|Tillai Stalam Enru|Gopalakrishna Bharati|
sama|Tripurasundari Shankari|Muthuswami Dikshitar|
sama|Varnam|Lalgudi Jayaraman|
sama|Varuvaro Varam Taruvaro|Gopalakrishna Bharati|
manjari|Patti Viduvaradu Naceyi|Tyagaraja|
sumanapriya|Shri Sharavana|Muthiah Bhagavatar|
karnatakabhoga|Nenendu Vedukudura|Tyagaraja|
sarvashri|Uma Sutam Namami|M. Balamuralikrishna|
hamsanadam|Banturiti Koluviyavayya|Tyagaraja|
hamsanadam|Bharama I Baluni|G. N. Balasubramaniam|
hamsanadam|Dasha Shata Dala|G. N. Balasubramaniam|
hamsanadam|Ezhiludai Hamsanadam|Tanjavur Sankara Iyer|
hamsanadam|Kalyaanaraama|Oothukkadu Venkata Kavi|
hamsanadam|Krupanidhae kurpajaladhe |Muthiah Bhagavatar|
hamsanadam|Pada Vendume|Dandapani Desikar|
hamsanadam|Ragam Tanam Pallavi|Own/others|
devamanohari|Arukkut Tan Teriyum|Gopalakrishna Bharati|
devamanohari|Evarikai Avataram Ettitivo|Tyagaraja|
devamanohari|Innum Tamadamen|Samuel Vedanayagam Pillai|
devamanohari|Kanna Tandri Napai|Tyagaraja|
devamanohari|Katyayani skanda janani|Muthiah Bhagavatar|
devamanohari|Kulabirudunu Brocukommu|Tyagaraja|
devamanohari|Mahadevena Palitosmyaham|Muthuswami Dikshitar|
devamanohari|Nikela Nayeda|Poochi Srinivasa Iyengar|
devamanohari|Ninnu Nera Nammi|Muthiah Bhagavatar|
devamanohari|Palukavademira Nato|Mysore Vasudevachar|
devamanohari|Palumaru Ninne Korina-varnam|Kottavasal Venkatarama Iyer|
devamanohari|Ragam Tanam Pallavi|Own/others|
devamanohari|Samee Deekshita|Koteeswara Iyer|
devamanohari|Shankara Mahadeva|G. N. Balasubramaniam|
devamanohari|Vandarulvai Muruga|Papanasam Sivan|
hemavati|Ennai Kattarulvadu|Papanasam Sivan|
hemavati|Hariyuvatim Haimavatim|Muthuswami Dikshitar|
hemavati|Madhurambikayam|Muthuswami Dikshitar|
hemavati|Manade Maravade|Koteeswara Iyer|
hemavati|Mantrini Matanga Tanaye|Muthiah Bhagavatar|
hemavati|Navukkarashanai|Dandapani Desikar|
hemavati|Ni Sari Sati Evaru Ledanucu|Tyagaraja|
hemavati|Palimpave Nannu|Veena Kuppayyar|
hemavati|Paripalanai Puri|Papanasam Sivan|
hemavati|Ragam Tanam Pallavi|Own/others|
hemavati|Shri Kantimatim Shankara Yuvatim|Muthuswami Dikshitar|
hemavati|Tarunamidenamma|M. Balamuralikrishna|
kalyanavasantam|Damodara Mamava|Madurai Gs Mani|
kalyanavasantam|Deva Jagannatha|Gopalakrishna Bharati|
kalyanavasantam|Ganamalinci|M. Balamuralikrishna|
kalyanavasantam|Kanulu Takani Parakantala|Tyagaraja|
kalyanavasantam|Nada Loludai|Tyagaraja|
kalyanavasantam|Ragam Tanam Pallavi|Own/others|
kalyanavasantam|Shri Ranganatha Pahimam|Jayachamarajendra Wadiyar|
kalyanavasantam|Shri Venkatesham Bhajami|Muthuswami Dikshitar|
margadeshi|Mangala Devate Paradevate|Muthuswami Dikshitar|
kokilaravam|Kodanda Ramam Anisham|Muthuswami Dikshitar|
hamirkalyani|Avan Seyal Anri|Muthiah Bhagavatar|
hamirkalyani|Devi Shritamstrakarala Vadane|Muthiah Bhagavatar|
hamirkalyani|Edo Teriyamal|Gopalakrishna Bharati|
hamirkalyani|Gangeyavasana|Swathi Thirunal Rama Varma|
hamirkalyani|Innum Tamadam Eno Varnam|Lalgudi Jayaraman|
hamirkalyani|Karunanidhan Kunj|Swathi Thirunal Rama Varma|
hamirkalyani|Manamu Leda|Tyagaraja|
hamirkalyani|Na Jane Tava|M. Balamuralikrishna|
hamirkalyani|Parimala Ranganatham|Muthuswami Dikshitar|
hamirkalyani|Purahara Nandana|Muthuswami Dikshitar|
hamirkalyani|Ragam Tanam Pallavi|Own/others|
hamirkalyani|Shendil Vazh Murugayya-varnam|T. R. Subramaniam|
hamirkalyani|Shivanai Ninai Maname|Neelakanta Sivan|
hamirkalyani|Tillana|Lalgudi Jayaraman|
hamirkalyani|Udana Tatana Tara Dhim|Muthiah Bhagavatar|
hamirkalyani|Venkata Shaila|Subbaraya Sastri|
gambhirini|Amma Ananda-varnam|M. Balamuralikrishna|
gambhirini|Anajaksa Ninne Nammiti|Mysore Sadashiva Rao|
gambhirini|Girija Ramana Natajana|Mysore Vasudevachar|
gambhirini|Ninne Bhajana Seyu Vadanu|Tyagaraja|
gambhirini|Ragam Tanam Pallavi|Own/others|
gambhirini|Shree Vigna Raajam Bhaje|Oothukkadu Venkata Kavi|
gambhirini|Shri Jalandharam|Jayachamarajendra Wadiyar|
suksmarupi|Ayya Guruvarya|M. Balamuralikrishna|
saindhavi|Emandune Muddu|Dharmapuri Subbarayar|
saindhavi|Itu Sahasamulu|Swathi Thirunal Rama Varma|
saindhavi|Marakatamani Chaye Maye|Muthiah Bhagavatar|
janaranjani|Ganapate Sugunanidhe|Muthiah Bhagavatar|
janaranjani|Nadadina Mata Nedu Tappavaladu|Tyagaraja|
janaranjani|Nannu Brova Rada O Jagadamba|Shyama Sastri|
janaranjani|Pahimam Shri Rajarajeshvari|Maha Vaidyanatha Iyer|
janaranjani|Ragam Tanam Pallavi|Own/others|
janaranjani|Shritajana Ranjani|Lalitha Dasa|
janaranjani|Shri Cakra Varada|Muthiah Bhagavatar|
janaranjani|Smarane Sukhamu Ramanama|Tyagaraja|
janaranjani|Vidajaladura Na Manasu|Tyagaraja|
sarangamallar|Shri Mahabala|Muthiah Bhagavatar|
udayaravicandrika|Enta Nercina Enta Jucina|Tyagaraja|
udayaravicandrika|Niratamuga Ninne|G. N. Balasubramaniam|
udayaravicandrika|Palayamam Siddhivinayakam|Mysore Sadashiva Rao|
udayaravicandrika|Shri Guruguha Murte|Muthuswami Dikshitar|
udayaravicandrika|Shri Hari Vallabhe Mam|Mysore Vasudevachar|
kedaram|Abhayambikaya Abhayambikaya|Muthuswami Dikshitar|
kedaram|Ainkaranillamal|Periyasaamy Thooran|
kedaram|Ananda Natana Prakasham|Muthuswami Dikshitar|
kedaram|Durusuga Kripa Judu|Garbhapurivasa|
kedaram|Graha Viksanamu|M. Balamuralikrishna|
kedaram|Hare Paripahimam|Mysore Vasudevachar|
kedaram|Marace Vadana Rama Ninu|Tyagaraja|
kedaram|O Rama Ramana Rama Rama|Tyagaraja|
kedaram|Paramananda Natana|Swathi Thirunal Rama Varma|
kedaram|Ragam Tanam Pallavi|Own/others|
kedaram|Rama Nipai Tanaku Prema|Tyagaraja|
kedaram|Sakala Bhuvana Nayaka|Papanasam Sivan|
kedaram|Samayamidhe Nanu Brova|Patnam Subramania Iyer|
kedaram|Sami Nee-varnam|Tiruvettiyur Tyaagayya|
kedaram|Vanhivasini|Muthiah Bhagavatar|
salagam|Ganamudam|Koteeswara Iyer|
vegavahini|Callaganato Balkumi|Tyagaraja|
vegavahini|Gajananayutam Ganeshvaram|Muthuswami Dikshitar|
vegavahini|Vinayaka Vighna Nashaka|Muthuswami Dikshitar|
vegavahini|Vina Pustaka Dharinim|Muthuswami Dikshitar|
revagupti|Grahabalamemi|Tyagaraja|
revagupti|Sharavana Bhava Guruguham|Muthuswami Dikshitar|
jayanarayani|Manavini Vinuma|Tyagaraja|
sarangi|Ram Surat Padam|Periyasaamy Thooran|
ahiri|Adaya Shri Raghuvara|Tyagaraja|
ahiri|Callare Ramachandru|Tyagaraja|
ahiri|Manasi Dasaca|Swathi Thirunal Rama Varma|
ahiri|Manasi Dussaham|Swathi Thirunal Rama Varma|
ahiri|Mayammayani Ne Pilacite|Shyama Sastri|
ahiri|Panagendrasya|Swathi Thirunal Rama Varma|
ahiri|Pula Panpu Mida Baga|Tyagaraja|
ahiri|Shri Kamalamba Jayati|Muthuswami Dikshitar|
chalanata|Edayya Gati|Koteeswara Iyer|
chalanata|Ragam Tanam Pallavi|Own/others|
hamsanandi|Dhim Tadhim Tanana|G. N. Balasubramaniam|
hamsanandi|Dhim Tare Nare Nare|Muthiah Bhagavatar|
hamsanandi|Madhava Maya|Papanasam Sivan|
hamsanandi|Minaksi Jayata|M. Balamuralikrishna|
hamsanandi|Nane Unai|Samuel Vedanayagam Pillai|
hamsanandi|Needu Mahima|Muthiah Bhagavatar|
hamsanandi|Pahi Jagajjanani|Swathi Thirunal Rama Varma|
hamsanandi|Pavana Guru|Lalitha Dasa|
hamsanandi|Punnagai Onre|Ambujam krishna|
hamsanandi|Ragam Tanam Pallavi|Own/others|
hamsanandi|Sacamara Ramavani|Muthiah Bhagavatar|
hamsanandi|Samagana Vinodini|Lalitha Dasa|
hamsanandi|Sankara Srigiri|Swathi Thirunal Rama Varma|
hamsanandi|Shollittan Teriyumo|Ambujam krishna|
hamsanandi|Shrinivasa Tiruvenkata|Papanasam Sivan|
hamsanandi|Sujana Manasa|G. N. Balasubramaniam|
hamsanandi|Tillana|Lalgudi Jayaraman|
hamsanandi|Tirupati Vasa|Indira Natesan|
hamsanandi|Velava Shuranenum|Periyasaamy Thooran|
dhenuka|Karunai Kadale|Koteeswara Iyer|
dhenuka|Ragam Tanam Pallavi|Own/others|
dhenuka|Teliyaleru Rama Bhakti|Tyagaraja|
bindumalini|Entamuddo Enta Sogaso|Tyagaraja|
bindumalini|Ragam Tanam Pallavi|Own/others|
bindumalini|Tillana|Lalgudi Jayaraman|
mukhari|Arivar Yar Unnai Arivar|Arunachala Kavi|
mukhari|Balagopala Palayapankajanayana|Swathi Thirunal Rama Varma|
mukhari|Bhavati Visvaso|Swathi Thirunal Rama Varma|
mukhari|Cidambara Darishanama|Gopalakrishna Bharati|
mukhari|Elavataram Ettukontivi|Tyagaraja|
mukhari|Emandune Muddu|Dharmapuri Subbarayar|
mukhari|Emani Ne|Subbaraya Sastri|
mukhari|Enraikku Shiva Kripai|Neelakanta Sivan|
mukhari|Entani Ne Varnintunu|Tyagaraja|
mukhari|Etiki Dayaradura|Bhadrachala Ramadasu|
mukhari|Induka I Tanavunu Bencina|Tyagaraja|
mukhari|Kanden Kanden|Arunachala Kavi|
mukhari|Karubaru Seyuvaru Galare|Tyagaraja|
mukhari|Ksinamai Tiruga Janmincu|Tyagaraja|
mukhari|Muripemu Galigegada|Tyagaraja|
mukhari|Pahi Mam Ratnacala Nayaka|Muthuswami Dikshitar|
mukhari|Pahi Sada Padmanabha|Swathi Thirunal Rama Varma|
mukhari|Ragam Tanam Pallavi|Own/others|
mukhari|Sangita Shastra Jnanamu|Tyagaraja|
mukhari|Sarasiruhanana Rama|Tyagaraja|
mukhari|Sharanam Ayyappa|Papanasam Sivan|
mukhari|Shivakama Sundari|Papanasam Sivan|
mukhari|Talacinantane Na Tanuvemo|Tyagaraja|
mukhari|Taye Bhavani|Muthiah Bhagavatar|
shrutiranjani|Edari Sancarintura|Tyagaraja|
sarangatarangini|Samana Rahite|G. N. Balasubramaniam|
nilambari|Amba Nilayataksi|Muthuswami Dikshitar|
nilambari|Anandavalli Kuru|Swathi Thirunal Rama Varma|
nilambari|Bala Pahi Vasudeva Devaki|Papanasam Sivan|
nilambari|Brovavamma Bangaru Bomma|Shyama Sastri|
nilambari|Duritaranya Krshanmo|R. Ramachandran Nair|
nilambari|Ennaga Manasuku Rani|Tyagaraja|
nilambari|Kalakanthii|Swathi Thirunal Rama Varma|
nilambari|Kantanodu Cennu|Swathi Thirunal Rama Varma|
nilambari|Lali Yugave Mapali Daivama|Tyagaraja|
nilambari|Mani Noopura Dhaari|Oothukkadu Venkata Kavi|
nilambari|Nike Dayaraka Ne Jeyu|Tyagaraja|
nilambari|Nilambari Jagadishvari|Papanasam Sivan|
nilambari|Pancasayakajanakan|Swathi Thirunal Rama Varma|
nilambari|Rama Rama Bhadracala|Bhadrachala Ramadasu|
nilambari|Satatam Samsmaraniha|Swathi Thirunal Rama Varma|
nilambari|Shri Rama Rama Rama|Tyagaraja|
nilambari|Uyyalalugavayya|Tyagaraja|
nilambari|Varnam|Lalgudi Jayaraman|
nilambari|Vimalakamaladala|Swathi Thirunal Rama Varma|
nilambari|Yeppadittaan Yen Ullam|Oothukkadu Venkata Kavi|
nilambari|Yoga Nidre|Muthiah Bhagavatar|
devamrtavarsani|Evarani Nirnayincirira|Tyagaraja|
bhairavam|Mariyada Gadayya|Tyagaraja|
bhairavam|Nannu Brova Rada|Patnam Subramania Iyer|
bhairavam|Arivar Yar Unnai|Arunachala Kavi|
suvarnangi|Iha Para Sukham|Koteeswara Iyer|
hamsadipakam|Shikhi Vahana|Muthiah Bhagavatar|
murti|Ennadaina Vintina-padam|M. Balamuralikrishna|
devaranji|Namaste Paradevate|Muthuswami Dikshitar|
manorama|Navamohana|M. Balamuralikrishna|
manorama|Sarva Jagad|Muthiah Bhagavatar|
nadatarangini|Krpalavala Kaladhara|Tyagaraja|
senavati|Vandarul Nee Ta|Koteeswara Iyer|
narayani|Bhajanaseyu Margamu|Tyagaraja|
narayani|Candike Shri|Muthiah Bhagavatar|
narayani|Kanna Tandri Nive|Patnam Subramania Iyer|
narayani|Na Moralanu|G. N. Balasubramaniam|
narayani|Ragam Tanam Pallavi|Own/others|
narayani|Rama Nivegani Nannu|Tyagaraja|
puspalata|Bhavaye Gopabalam|Swathi Thirunal Rama Varma|
vativasantabhairavi|Prasanna Venkateshvaram|Muthuswami Dikshitar|
sumadyuti|Kamaksi Kamakoti Pithavasini|Muthuswami Dikshitar|
sumadyuti|Nilacala Natham Bhajeham|Muthuswami Dikshitar|
sumadyuti|Pamara Jana Palini Brhannayaki|Muthuswami Dikshitar|
sumadyuti|Shaileshvaram Bhajare|Muthuswami Dikshitar|
sarasangi|Hanuma Anuma|M. Balamuralikrishna|
sarasangi|Jayajaya Padmanabha|Swathi Thirunal Rama Varma|
sarasangi|Malaiyade Maname|Koteeswara Iyer|
sarasangi|Manavi Cekonavayya|Patnam Subramania Iyer|
sarasangi|Neekela Dayaradhu|Maha Vaidyanatha Iyer|
sarasangi|Ragam Tanam Pallavi|Own/others|
sarasangi|Sadashivam Upsmahe|Jayachamarajendra Wadiyar|
sarasangi|Tirupati Malaiyurai|Dandapani Desikar|
sarasangi|Unadu Tiruvadi Nambi|Gopalakrishna Bharati|
bhusavali|Gopanandana|Swathi Thirunal Rama Varma|
bhusavali|Tanamidane Jeppu Kovale|Tyagaraja|
bhusavali|Toli Nenu Jesina Puja|Tyagaraja|
bhusavali|Bhusavatim Manju Bhasavatim|Muthuswami Dikshitar|
bhavabharanam|Maha Ganesham|Tyagaraja|
ganavaridhi|Dayajucutakidi Velara|Tyagaraja|
ganavaridhi|Ragam Tanam Pallavi|Own/others|
namanarayani|En Maname|Koteeswara Iyer|
jayantasena|Arjuna Sarathim|Madurai Gs Mani|
jayantasena|Vinata Suta Vahana Shriramana|Tyagaraja|
candrakauns|Ragam Tanam Pallavi|Own/others|
candrakauns|Nalai Varum Enre Nambalama|Madurai Gs Mani|
chayagaula|Sarasvatya Bhagavatya|Muthuswami Dikshitar|
bhanumati|Brhadamba Madamba Jayati|Muthuswami Dikshitar|
bhanumati|Guruguha Svamini Bhaktim|Muthuswami Dikshitar|
behag|Adum Cidambaramo|Gopalakrishna Bharati|
behag|Bhavayeham Raghuviram|Mysore Vasudevachar|
behag|Dhim Tana Tare Dhirana|Muthiah Bhagavatar|
behag|Dhim Tana Udara Dhirana-tillana|Papanasam Sivan|
behag|Dru Dru Tom Taka Dhim-tillana|M. Balamuralikrishna|
behag|Idu Tano|Gopalakrishna Bharati|
behag|Irakkam Varamal|Gopalakrishna Bharati|
behag|Kalpakambikai Ni|Papanasam Sivan|
behag|Muralidhara Gana|Indira Natesan|
behag|Nadiri Diri Tom Tadirana-tillana|Veene Sheshanna|
behag|Nirupamana Samini|Poochi Srinivasa Iyengar|
behag|Ragam Tanam Pallavi|Own/others|
behag|Rinamadhunuta|Swathi Thirunal Rama Varma|
behag|Samayamide Rara|Patnam Subramania Iyer|
behag|Saramaina Matalento|Swathi Thirunal Rama Varma|
behag|Shankara Nin Karunai|Neelakanta Sivan|
behag|Shri Madhava|Papanasam Sivan|
behag|Smarajanaka|Swathi Thirunal Rama Varma|
behag|Tillana|Lalgudi Jayaraman|
behag|Vanajaksha Ninne-varnam|T. R. Subramaniam|
behag|Varuvai Enrun|Ambujam krishna|
kurinji|Aliveni Enduceyyum|Swathi Thirunal Rama Varma|
kurinji|Engum Niraindirukkum|Papanasam Sivan|
kurinji|Kameshwari|Muthiah Bhagavatar|
kurinji|Kanne En Kanmaiye|Papanasam Sivan|
kurinji|Nandasuta|Swathi Thirunal Rama Varma|
kurinji|Shri Venugopala|Muthuswami Dikshitar|
kurinji|Sita Kalyana Vaibhogame|Tyagaraja|
bilahari|Appa Unai Maravene|Periyasaamy Thooran|
bilahari|Aradhayami|Swathi Thirunal Rama Varma|
bilahari|Calamela Jesevura-varnam|Mysore Vasudevachar|
bilahari|Dasharathe Pahimam|Mysore Vasudevachar|
bilahari|Dorakuna Ituvanti Seva|Tyagaraja|
bilahari|Ekadantam Bhajeham|Muthuswami Dikshitar|
bilahari|Ini Namakkoru|Koteeswara Iyer|
bilahari|Intakannanandamemi|Tyagaraja|
bilahari|Inta Cauka Seya Idi-varnam|Veena Kuppayyar|
bilahari|Kamaksi Varalaksmi Kamalaksi|Muthuswami Dikshitar|
bilahari|Kanbedeppoden Ayyane|Ambujam krishna|
bilahari|Kanukontini Shri Ramuni|Tyagaraja|
bilahari|Karpakambike Kadaikkan|Papanasam Sivan|
bilahari|Kshetra Palaka Ksema|Tyagaraja|
bilahari|Mahakali Maharagjni|Muthiah Bhagavatar|
bilahari|Manadu Kalangade|Periyasaamy Thooran|
bilahari|Narasimha Enai|Ambujam krishna|
bilahari|Narasimha Nannu Brovave|Tyagaraja|
bilahari|Na Jivadhara Na Nomuphalama|Tyagaraja|
bilahari|Nijamunnai Nambinen|Papanasam Sivan|
bilahari|Palumaru Ninu|M. Balamuralikrishna|
bilahari|Paridanaminchite|Patnam Subramania Iyer|
bilahari|Ragam Tanam Pallavi|Own/others|
bilahari|Santatam Aham Seve|Oothukkadu Venkata Kavi|
bilahari|Santatam Bhajamiha|Swathi Thirunal Rama Varma|
bilahari|Sarasa Dala|Tiruvettiyur Tyaagayya|
bilahari|Sarvesha Adimaiyai|Papanasam Sivan|
bilahari|Shri Balasubramanya|Muthuswami Dikshitar|
bilahari|Shri Camundeshvari Palayamam|Mysore Vasudevachar|
bilahari|Shri Madhurapuri Viharini|Muthuswami Dikshitar|
bilahari|Shri Rama Nannubrova|Poochi Srinivasa Iyengar|
bilahari|Smara Sada Manasa|Swathi Thirunal Rama Varma|
bilahari|Svami Undan-varnam|Papanasam Sivan|
bilahari|Toli Janmamuna Jeyu|Tyagaraja|
bilahari|Va Sharavanabhava|Koteeswara Iyer|
kesabauli|Rama Ramakali Kalusavirama|Muthuswami Dikshitar|
vagadishvari|Bhogachaya Natakapriye|Muthuswami Dikshitar|
vagadishvari|Nadanu Santana|Koteeswara Iyer|
vagadishvari|Paramatmudu Velige|Tyagaraja|
vagadishvari|Ragam Tanam Pallavi|Own/others|
devagandhari|Enneramum Undan|Gopalakrishna Bharati|
devagandhari|Enneramum Unran|Gopalakrishna Bharati|
devagandhari|Evaru Manaku Samanamilalo|Tyagaraja|
devagandhari|Karuna Samudra Nanu|Tyagaraja|
devagandhari|Koluvaiyunnade Kodandapani|Tyagaraja|
devagandhari|Ksira Sagara Shayana|Tyagaraja|
devagandhari|Ksitija Ramanam Cintaye|Muthuswami Dikshitar|
devagandhari|Maravakara Nava Manmatha|Tyagaraja|
devagandhari|Matada Bekayya|Ambujam krishna|
devagandhari|Na Moralakimpavemi|Tyagaraja|
devagandhari|Rama Rama Pahi|Swathi Thirunal Rama Varma|
devagandhari|Saccidananda|Muthiah Bhagavatar|
devagandhari|Shalivatishvaram Bhajeham|Muthuswami Dikshitar|
devagandhari|Sharade Vina Vadana|Papanasam Sivan|
devagandhari|Shri Raghuvara Karunakara|Tyagaraja|
devagandhari|Shri Tulasamma Mayinta|Tyagaraja|
devagandhari|Sitavara Sangita Jnanamu|Tyagaraja|
devagandhari|Svamiki Sariyevvarana|Patnam Subramania Iyer|
devagandhari|Vadanyeshvaram Bhajeham|Muthuswami Dikshitar|
devagandhari|Varnam|Lalgudi Jayaraman|
devagandhari|Vinarada Na Manavi Vinarda|Tyagaraja|
yamunakalyani|Adi Nipai Marulu|Dharmapuri Subbarayar|
yamunakalyani|Aj Aye|Swathi Thirunal Rama Varma|
yamunakalyani|Hari Dasalu Vedale Muccata|Tyagaraja|
yamunakalyani|Jambupate Mam Pahi|Muthuswami Dikshitar|
yamunakalyani|Jayajaya Devi|Swathi Thirunal Rama Varma|
yamunakalyani|Jaya Jaagadisa|Swathi Thirunal Rama Varma|
yamunakalyani|Nama Shravana Sukham|R. Ramachandran Nair|
yamunakalyani|Nanda Gopala Mukunda|Muthuswami Dikshitar|
yamunakalyani|Narahari Deva|Bhadrachala Ramadasu|
yamunakalyani|Narayana Hari Narayana|Tyagaraja|
yamunakalyani|O Rama Nee|Bhadrachala Ramadasu|
yamunakalyani|Sagarundu Vedale Nito|Tyagaraja|
yamunakalyani|Tillana|Lalgudi Jayaraman|
yamunakalyani|Vidhi Shakradulaku Dorakuna|Tyagaraja|
bahudari|Bhaja Manasa Vighneshvaram|R. Ramachandran Nair|
bahudari|Brova Bharama Raghurama|Tyagaraja|
bahudari|Ento Prematonu Ninne-varnam|Lalgudi Jayaraman|
bahudari|Kamala Dalayata|M. Balamuralikrishna|
bahudari|Marakoti Sundari|G. N. Balasubramaniam|
bahudari|Ragam Tanam Pallavi|Own/others|
bahudari|Unnadiye Gati|G. N. Balasubramaniam|
punnagavarali|Ayye Mettakkadinam|Gopalakrishna Bharati|
punnagavarali|Brova Samayamide Devi|Shyama Sastri|
punnagavarali|Devi Shivadooti|Muthiah Bhagavatar|
punnagavarali|Ehi Annapurne Sannidhehi|Muthuswami Dikshitar|
punnagavarali|Enneramum Un Pada Kamala|Shyama Sastri|
punnagavarali|Enomu Nocitimo|Tyagaraja|
punnagavarali|Gandhamu Puyyaruga|Tyagaraja|
punnagavarali|Kamalambikayaha|Muthuswami Dikshitar|
punnagavarali|Kanaka Shaila Viharini|Shyama Sastri|
punnagavarali|Manasa Sancarare Rame|Tyagaraja|
punnagavarali|Nilavanam Thannil|Oothukkadu Venkata Kavi|
punnagavarali|Shivaganga Nagara|Papanasam Sivan|
punnagavarali|Tava Dasoham Tava Dasoham|Tyagaraja|
punnagavarali|Teliviyalum|Swathi Thirunal Rama Varma|
raghupriya|Himagiri Kumari Ishvari|Muthuswami Dikshitar|
raghupriya|Sadananda Bhakti|Koteeswara Iyer|
jivanpuri|Andavan Darishaname|Muthiah Bhagavatar|
jivanpuri|Avataram Cheydiduveere|Arunachala Kavi|
jivanpuri|Eppo Varuvaro|Gopalakrishna Bharati|
jivanpuri|Mangala Roopiniye|Muthiah Bhagavatar|
jivanpuri|Mavoor Valar|Muthiah Bhagavatar|
jivanpuri|Muruganai Bhaji|Papanasam Sivan|
jivanpuri|Nilamegha Shyama|Madurai Gs Mani|
jivanpuri|Ragam Tanam Pallavi|Own/others|
purnasadjam|Lavanya Rama Kannulara|Tyagaraja|
purnasadjam|Shri Manini Manohara|Tyagaraja|
dundumi|Lilaganu Jucu Gunashilula|Tyagaraja|
shuddhasaveri|Arumukha Adimaiyai|Papanasam Sivan|
shuddhasaveri|Darini Telusukonti Tripurasundarini|Tyagaraja|
shuddhasaveri|Indap Pratapamum|Gopalakrishna Bharati|
shuddhasaveri|Janani Pahi Sada|Swathi Thirunal Rama Varma|
shuddhasaveri|Kala Haranamelara Hare|Tyagaraja|
shuddhasaveri|Laksanamulu Gala Shri|Tyagaraja|
shuddhasaveri|Lalitambikam Cintayamyaham|Muthuswami Dikshitar|
shuddhasaveri|Sadashiva Kumara|Papanasam Sivan|
shuddhasaveri|Sahasika Dhanujahara|Swathi Thirunal Rama Varma|
shuddhasaveri|Samaja Varada|Poochi Srinivasa Iyengar|
shuddhasaveri|Sandhya Devim Savitrim|Muthuswami Dikshitar|
shuddhasaveri|Sarva Jiva Dayakari|Oothukkadu Venkata Kavi|
shuddhasaveri|Shankara Gangadhara|Muthiah Bhagavatar|
shuddhasaveri|Shrimat Simhasaneshwari|Muthiah Bhagavatar|
shuddhasaveri|Shri Guruguha Tarayashu|Muthuswami Dikshitar|
shuddhasaveri|Taye Tripurasundari|Periyasaamy Thooran|
mayamalavagaula|Cintayeham Janakikantam|Mysore Vasudevachar|
mayamalavagaula|Dasharatha Nandana Disha|Mysore Vasudevachar|
mayamalavagaula|Devadeva Kalayami|Swathi Thirunal Rama Varma|
mayamalavagaula|Devadi Deva Nannu|Mysore Sadashiva Rao|
mayamalavagaula|Devi Shri Tulasamma|Tyagaraja|
mayamalavagaula|Illadadai Virumbi|Papanasam Sivan|
mayamalavagaula|Inda Paramukhama|Papanasam Sivan|
mayamalavagaula|Kalinarulaku Ni Mahima|Mysore Vasudevachar|
mayamalavagaula|Ksira Sagara Shayana|Jayachamarajendra Wadiyar|
mayamalavagaula|Meru Samana Dhira Varada|Tyagaraja|
mayamalavagaula|Nan En Seiven|Koteeswara Iyer|
mayamalavagaula|Nilayataksi Nive Jagatsaksi|Shyama Sastri|
mayamalavagaula|Nilotpalambikayaha Tava|Muthuswami Dikshitar|
mayamalavagaula|Ragam Tanam Pallavi|Own/others|
mayamalavagaula|Raksimpave Shri Rajata|Tyagaraja|
mayamalavagaula|Sangita Devate|Ambujam krishna|
mayamalavagaula|Sarasijanabhamurare|Swathi Thirunal Rama Varma|
mayamalavagaula|Shri Nathadi Guruguho|Muthuswami Dikshitar|
mayamalavagaula|Shri Vidya Vedya|Muthiah Bhagavatar|
mayamalavagaula|Sivaloga Nadanai Kandu|Gopalakrishna Bharati|
mayamalavagaula|Tulasi Dalamulace|Tyagaraja|
mayamalavagaula|Vidulaku Mrokkeda Sangitakovidulaku|Tyagaraja|
purvi|Shri Guruguhasya Dasoham|Muthuswami Dikshitar|
purvi|Tillana|Swathi Thirunal Rama Varma|
gitapriya|Sadhujana Vinutam Guruguham|Muthuswami Dikshitar|
shyamalangi|Kanda Bhakta|Koteeswara Iyer|
shyamalangi|Shyamalangi|M. Balamuralikrishna|
salagabhairavi|Dandini Shri|Muthiah Bhagavatar|
salagabhairavi|Padavi Ni Sadbhaktiyu|Tyagaraja|
salagabhairavi|Samagana Lola|Veena Kuppayyar|
salagabhairavi|Tyagarajena Samraksitoham|Muthuswami Dikshitar|
salagabhairavi|Varalaksmi Niye Vandarulvaye|Papanasam Sivan|
dheerasankarabharanam|Akhilanda Nayaki|Papanasam Sivan|
dheerasankarabharanam|Aksaya Linga Vibho|Muthuswami Dikshitar|
dheerasankarabharanam|Bagu Miraganu|Veena Kuppayyar|
