raga_name|kriti_name|composer_name|Link
brndavani|Tillana|Lalgudi Jayaraman|
hamsavinodini|Guruni Smarimpumu|M. Balamuralikrishna|
hamsavinodini|Ragam Tanam Pallavi|Own/others|
karavani|Amba Vani Nannu|Muthiah Bhagavatar|
karavani|Baala Sarasa|Oothukkadu Venkata Kavi|
karavani|Bhavaye Sarasijanabham|Swathi Thirunal Rama Varma|
karavani|Brovu Brovu Manine Vedite|Shyama Sastri|
karavani|Devi Niye Tunai|Papanasam Sivan|
karavani|Ellam Shei|Dandapani Desikar|
karavani|Innamum Sandehappadalamo|Gopalakrishna Bharati|
karavani|Kadavul Arulai|Dandapani Desikar|
karavani|Kaligiyuntegada Galgunu|Tyagaraja|
karavani|Karunakarane Shiva|Papanasam Sivan|
karavani|Nijamuga Rama|Poochi Srinivasa Iyengar|
karavani|Ni Caranambujamunu|G. N. Balasubramaniam|
karavani|Punniyam Oru Koti|Periyasaamy Thooran|
karavani|Ragam Tanam Pallavi|Own/others|
karavani|Shri Daksinamurtim|M. Balamuralikrishna|
karavani|Uruga Vendamo|Ambujam krishna|
karavani|Varamulosagi|Patnam Subramania Iyer|
karavani|Velava Vinai|Koteeswara Iyer|
kannadabangala|Renuka Devi Samraksitoham|Muthuswami Dikshitar|
kalavati|Ennadu Jutuno|Tyagaraja|
kalavati|Kalavati Kamalananayuvati|Muthuswami Dikshitar|
kalavati|Okapari Judaga Rada|Tyagaraja|
kalavati|Ragam Tanam Pallavi|Own/others|
vamshavati|Bhaktavatsalam Abhisekavalli|Muthuswami Dikshitar|
vamshavati|Vamshavati Shiva Yuvati|Muthuswami Dikshitar|
jyotiswarupini|Anandamaya Manave|Venkataramana Bhagavathar|
jyotiswarupini|Ganamuda Panam|Koteeswara Iyer|
jyotiswarupini|Jyotisvarupini Jaya|Periyasaamy Thooran|
jyotiswarupini|Rame Bharata Palita|Muthuswami Dikshitar|
todi|Amba Nadu Vinnapamu|Pallavi Gopala Iyer|
todi|Aragimpave Palaragimpave|Tyagaraja|
todi|Bhagala Deviya|Muthiah Bhagavatar|
todi|Bharati Mamava|Swathi Thirunal Rama Varma|
todi|Brndavanalola Govinda|Tyagaraja|
todi|Cesinadella Maracitivo|Tyagaraja|
todi|Dacukovalena Dasharathi|Tyagaraja|
todi|Daksayani Abhayambike|Muthuswami Dikshitar|
todi|Dani Samajendra|Swathi Thirunal Rama Varma|
todi|Dasharathini Runamu|Tyagaraja|
todi|Devadeva Mam Palaya|Swathi Thirunal Rama Varma|
todi|Emani Mataditivo Rama|Tyagaraja|
todi|Emani Migula Varnintu|Shyama Sastri|
todi|Emi Jesitenemi Shri|Tyagaraja|
todi|Enduku Dayaradura Shri|Tyagaraja|
todi|Endu Daginado|Tyagaraja|
todi|Era Napai Inta-varnam|Kottavasal Venkatarama Iyer|
todi|Era Napai Inta-varnam|Patnam Subramania Iyer|
todi|Gangai Ani|Papanasam Sivan|
todi|Gati Nivani Ne Kori|Tyagaraja|
todi|Gati Niye Enru|Ambujam krishna|
todi|Kadaikkan Nokki Kavadadum|Papanasam Sivan|
todi|Kaddanu Variki Kaddukaddani|Tyagaraja|
todi|Kali Tira Vandarul|Koteeswara Iyer|
todi|Kamala Ambike Aahrta Kalpalatike|Muthuswami Dikshitar|
todi|Kanakangi Ni Celimi-varnam|Pallavi Gopala Iyer|
